"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6121","TC12 - Clicking Update Profile navigates to profile page","webkit","2026-04-04","passed","2026-04-04","Job Seeker Dashboard","jobseeker-dashboard.spec.js","",""
"","2849","TC20 - Refresh clears the form","firefox","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","737","TC21 - Empty form shows name validation error","chromium","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","821","TC03 - Logo displays Job Portal text","webkit","2026-04-04","passed","2026-04-04","Recruiter Page - Navbar Module","recruiter-login.spec.js","",""
"","3207","TC02 - Dashboard heading is correct","firefox","2026-04-04","passed","2026-04-04","Job Seeker Dashboard","jobseeker-dashboard.spec.js","",""
"","674","Login page loads","firefox","2026-04-04","passed","2026-04-04","Login Module","jobseeker-login.spec.js","",""
"","12789","TC15 - Experience field is of type number","chromium","2026-04-04","passed","2026-04-04","Post New Job","recruiter-post-job.spec.js","",""
"","1728","Wrong credentials","webkit","2026-04-04","passed","2026-04-04","Login Module","jobseeker-login.spec.js","",""
"","1620","TC27 - Missing company name shows required error","webkit","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","3000","TC05 - Required Skills field is visible","firefox","2026-04-04","passed","2026-04-04","Post New Job","recruiter-post-job.spec.js","",""
"","935","TC09 - Login button is visible","webkit","2026-04-04","passed","2026-04-04","Recruiter Page - Navbar Module","recruiter-login.spec.js","",""
"","2665","TC03 - Navbar logo is visible","chromium","2026-04-04","passed","2026-04-04","Recruiter Dashboard","recruiter-dashboard.spec.js","",""
"","789","TC23 - Short name shows validation error","firefox","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","876","Navbar Register link works correctly","firefox","2026-04-04","passed","2026-04-04","Login Module","jobseeker-login.spec.js","",""
"","1878","TC25 - Password mismatch shows error","firefox","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","1226","TC16 - Company Name field accepts text input","webkit","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","3019","get started link","firefox","2026-04-04","passed","2026-04-04","","example.spec.js","",""
"","884","Password field empty validation","chromium","2026-04-04","passed","2026-04-04","Login Module","jobseeker-login.spec.js","",""
"","4573","TC04 - Logout redirects away from dashboard","firefox","2026-04-04","passed","2026-04-04","Job Seeker Dashboard","jobseeker-dashboard.spec.js","",""
"","30082","TC24 - Missing email shows required error","webkit","2026-04-04","broken","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","526","TC14 - Email field accepts email input","chromium","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","812","Missing Mobile","chromium","2026-04-04","passed","2026-04-04","Job Seeker Registration","jobseeker.spec.js","",""
"","1015","TC04 - Name field is visible","webkit","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","1759","Missing Confirm Password","webkit","2026-04-04","passed","2026-04-04","Job Seeker Registration","jobseeker.spec.js","",""
"","1040","TC17 - Password field masks input","webkit","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","10329","Missing Email","chromium","2026-04-04","passed","2026-04-04","Job Seeker Registration","jobseeker.spec.js","",""
"","1371","TC16 - Company Name field accepts text input","firefox","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","5651","TC14 - Logout redirects away from dashboard","webkit","2026-04-04","passed","2026-04-04","Recruiter Dashboard","recruiter-dashboard.spec.js","",""
"","3993","TC14 - Education Details fields are visible","webkit","2026-04-04","passed","2026-04-04","Job Seeker Dashboard","jobseeker-dashboard.spec.js","",""
"","3382","TC04 - Name field is visible","chromium","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","7629","TC18 - Resume upload accepts PDF only","firefox","2026-04-04","passed","2026-04-04","Job Seeker Dashboard","jobseeker-dashboard.spec.js","",""
"","1547","Login with phone number & password","firefox","2026-04-04","passed","2026-04-04","Login Module","jobseeker-login.spec.js","",""
"","751","Wrong credentials","chromium","2026-04-04","passed","2026-04-04","Login Module","jobseeker-login.spec.js","",""
"","850","TC08 - Password field is visible","webkit","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","11902","TC11 - All three action cards are visible","webkit","2026-04-04","passed","2026-04-04","Job Seeker Dashboard","jobseeker-dashboard.spec.js","",""
"","4888","TC02 - Login with valid email & password","firefox","2026-04-04","passed","2026-04-04","Login Module","jobseeker-login.spec.js","",""
"","15441","TC02 - Navbar is fixed positioned","chromium","2026-04-04","passed","2026-04-04","Recruiter Page - Navbar Module","recruiter-login.spec.js","",""
"","838","TC07 - Company Name field is visible","webkit","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","3548","TC04 - Navbar logo links to recruiter home","webkit","2026-04-04","passed","2026-04-04","Recruiter Dashboard","recruiter-dashboard.spec.js","",""
"","585","TC29 - Job Seeker register link is present","firefox","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","11032","TC03 - Navbar logo is visible","webkit","2026-04-04","passed","2026-04-04","Recruiter Dashboard","recruiter-dashboard.spec.js","",""
"","895","Invalid mobile number","chromium","2026-04-04","passed","2026-04-04","Job Seeker Registration","jobseeker.spec.js","",""
"","523","TC06 - Mobile field is visible","chromium","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","994","Navigate to Login page","firefox","2026-04-04","passed","2026-04-04","Job Seeker Registration","jobseeker.spec.js","",""
"","7434","TC19 - Profile image upload accepts JPG/PNG only","firefox","2026-04-04","passed","2026-04-04","Job Seeker Dashboard","jobseeker-dashboard.spec.js","",""
"","4564","TC10 - Submit button has correct label","firefox","2026-04-04","passed","2026-04-04","Post New Job","recruiter-post-job.spec.js","",""
"","402","TC09 - Login button is visible","chromium","2026-04-04","passed","2026-04-04","Recruiter Page - Navbar Module","recruiter-login.spec.js","",""
"","3765","TC05 - Required Skills field is visible","webkit","2026-04-04","passed","2026-04-04","Post New Job","recruiter-post-job.spec.js","",""
"","1327","TC14 - Email field accepts email input","webkit","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","2048","TC09 - Confirm Password field is visible","webkit","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","1135","TC28 - Navigate to Login via navbar","webkit","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","3870","TC13 - Create Job button links to correct URL","webkit","2026-04-04","passed","2026-04-04","Recruiter Dashboard","recruiter-dashboard.spec.js","",""
"","1082","TC08 - Clicking logo navigates to homepage","firefox","2026-04-04","passed","2026-04-04","Recruiter Page - Navbar Module","recruiter-login.spec.js","",""
"","840","Invalid mobile number","firefox","2026-04-04","passed","2026-04-04","Job Seeker Registration","jobseeker.spec.js","",""
"","770","TC05 - Logo image has correct src","chromium","2026-04-04","passed","2026-04-04","Recruiter Page - Navbar Module","recruiter-login.spec.js","",""
"","2866","TC08 - Create Job button is visible","chromium","2026-04-04","passed","2026-04-04","Recruiter Dashboard","recruiter-dashboard.spec.js","",""
"","3460","TC10 - View Jobs button is visible","firefox","2026-04-04","passed","2026-04-04","Recruiter Dashboard","recruiter-dashboard.spec.js","",""
"","4178","TC17 - Refresh clears all fields","firefox","2026-04-04","passed","2026-04-04","Post New Job","recruiter-post-job.spec.js","",""
"","7001","TC11 - View Applications card is visible","firefox","2026-04-04","passed","2026-04-04","Recruiter Dashboard","recruiter-dashboard.spec.js","",""
"","4494","TC16 - All fields have required attribute","webkit","2026-04-04","passed","2026-04-04","Post New Job","recruiter-post-job.spec.js","",""
"","3714","TC19 - Logout button is visible","firefox","2026-04-04","passed","2026-04-04","Post New Job","recruiter-post-job.spec.js","",""
"","3695","TC17 - Fresher checkbox can be checked","webkit","2026-04-04","passed","2026-04-04","Job Seeker Dashboard","jobseeker-dashboard.spec.js","",""
"","13937","TC08 - Clicking logo navigates to homepage","chromium","2026-04-04","passed","2026-04-04","Recruiter Page - Navbar Module","recruiter-login.spec.js","",""
"","723","TC08 - Password field is visible","firefox","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","3130","TC06 - Logout button has correct text","firefox","2026-04-04","passed","2026-04-04","Recruiter Dashboard","recruiter-dashboard.spec.js","",""
"","754","Missing Password","chromium","2026-04-04","passed","2026-04-04","Job Seeker Registration","jobseeker.spec.js","",""
"","743","Password mismatch","chromium","2026-04-04","passed","2026-04-04","Job Seeker Registration","jobseeker.spec.js","",""
"","30136","TC12 - Job Role field accepts text input","chromium","2026-04-04","broken","2026-04-04","Post New Job","recruiter-post-job.spec.js","",""
"","3050","has title","chromium","2026-04-04","passed","2026-04-04","","example.spec.js","",""
"","7117","TC15 - Clicking Register navigates to jobseeker register","webkit","2026-04-04","passed","2026-04-04","Recruiter Page - Navbar Module","recruiter-login.spec.js","",""
"","1801","Missing Mobile","webkit","2026-04-04","passed","2026-04-04","Job Seeker Registration","jobseeker.spec.js","",""
"","640","TC13 - Name field accepts text input","chromium","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","3792","TC01 - Dashboard loads after login","webkit","2026-04-04","passed","2026-04-04","Recruiter Dashboard","recruiter-dashboard.spec.js","",""
"","4758","TC09 - Login button is visible","firefox","2026-04-04","passed","2026-04-04","Recruiter Page - Navbar Module","recruiter-login.spec.js","",""
"","1274","TC18 - Confirm Password field masks input","webkit","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","1521","TC23 - Short name shows validation error","webkit","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","603","TC07 - Company Name field is visible","firefox","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","4031","TC17 - Refresh clears all fields","webkit","2026-04-04","passed","2026-04-04","Post New Job","recruiter-post-job.spec.js","",""
"","2417","Register with valid details","webkit","2026-04-04","passed","2026-04-04","Job Seeker Registration","jobseeker.spec.js","",""
"","1045","TC24 - Missing email shows required error","chromium","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","5269","TC18 - Resume upload accepts PDF only","webkit","2026-04-04","passed","2026-04-04","Job Seeker Dashboard","jobseeker-dashboard.spec.js","",""
"","3978","TC15 - Experience field is of type number","webkit","2026-04-04","passed","2026-04-04","Post New Job","recruiter-post-job.spec.js","",""
"","3699","TC15 - Unauthenticated access redirects to login","webkit","2026-04-04","passed","2026-04-04","Recruiter Dashboard","recruiter-dashboard.spec.js","",""
"","3909","TC06 - Logout button has correct text","webkit","2026-04-04","passed","2026-04-04","Recruiter Dashboard","recruiter-dashboard.spec.js","",""
"","16903","TC02 - Page heading is Post New Job","firefox","2026-04-04","passed","2026-04-04","Post New Job","recruiter-post-job.spec.js","",""
"","583","TC03 - Register form is visible","chromium","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","2280","TC03 - Unauthenticated access redirects away","chromium","2026-04-04","passed","2026-04-04","Job Seeker Dashboard","jobseeker-dashboard.spec.js","",""
"","30058","Invalid email format","chromium","2026-04-04","broken","2026-04-04","Login Module","jobseeker-login.spec.js","",""
"","1146","TC21 - Empty form shows name validation error","webkit","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","2722","TC14 - Education Details fields are visible","firefox","2026-04-04","passed","2026-04-04","Job Seeker Dashboard","jobseeker-dashboard.spec.js","",""
"","6054","TC11 - All three action cards are visible","chromium","2026-04-04","passed","2026-04-04","Job Seeker Dashboard","jobseeker-dashboard.spec.js","",""
"","3038","TC18 - Resume upload accepts PDF only","chromium","2026-04-04","passed","2026-04-04","Job Seeker Dashboard","jobseeker-dashboard.spec.js","",""
"","504","TC10 - Submit button is visible","chromium","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","3848","TC28 - Navigate to Login via navbar","chromium","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","30114","Only spaces in all fields should show validation errors","chromium","2026-04-04","broken","2026-04-04","Job Seeker Registration","jobseeker.spec.js","",""
"","1196","TC06 - Logo image has alt text","webkit","2026-04-04","passed","2026-04-04","Recruiter Page - Navbar Module","recruiter-login.spec.js","",""
"","955","TC01 - Navbar is visible","firefox","2026-04-04","passed","2026-04-04","Recruiter Page - Navbar Module","recruiter-login.spec.js","",""
"","4385","TC04 - Navbar logo links to recruiter home","firefox","2026-04-04","passed","2026-04-04","Recruiter Dashboard","recruiter-dashboard.spec.js","",""
"","946","TC13 - Name field accepts text input","firefox","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","663","TC19 - Form fields are empty on page load","firefox","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","3904","TC11 - All fields are empty on page load","firefox","2026-04-04","passed","2026-04-04","Post New Job","recruiter-post-job.spec.js","",""
"","2262","has title","firefox","2026-04-04","passed","2026-04-04","","example.spec.js","",""
"","1761","Invalid mobile number","webkit","2026-04-04","passed","2026-04-04","Job Seeker Registration","jobseeker.spec.js","",""
"","1570","TC25 - Password mismatch shows error","webkit","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","817","TC22 - Empty form shows required field errors","chromium","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","1464","Navigate to Login page","webkit","2026-04-04","passed","2026-04-04","Job Seeker Registration","jobseeker.spec.js","",""
"","2118","TC13 - Register button is visible","chromium","2026-04-04","passed","2026-04-04","Recruiter Page - Navbar Module","recruiter-login.spec.js","",""
"","3072","TC02 - Dashboard heading is correct","chromium","2026-04-04","passed","2026-04-04","Job Seeker Dashboard","jobseeker-dashboard.spec.js","",""
"","2611","TC16 - All fields have required attribute","chromium","2026-04-04","passed","2026-04-04","Post New Job","recruiter-post-job.spec.js","",""
"","5163","TC14 - Logout redirects away from dashboard","chromium","2026-04-04","passed","2026-04-04","Recruiter Dashboard","recruiter-dashboard.spec.js","",""
"","3844","TC02 - Page title is correct","chromium","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","1385","Missing Name","webkit","2026-04-04","passed","2026-04-04","Job Seeker Registration","jobseeker.spec.js","",""
"","30080","TC10 - Login button has correct text","chromium","2026-04-04","broken","2026-04-04","Recruiter Page - Navbar Module","recruiter-login.spec.js","",""
"","878","TC24 - Missing email shows required error","firefox","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","6087","TC05 - Logo image has correct src","webkit","2026-04-04","passed","2026-04-04","Recruiter Page - Navbar Module","recruiter-login.spec.js","",""
"","3474","TC09 - Manage Jobs card is visible","firefox","2026-04-04","passed","2026-04-04","Recruiter Dashboard","recruiter-dashboard.spec.js","",""
"","2542","TC18 - Confirm Password field masks input","firefox","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","3626","TC12 - View Applications button is visible","webkit","2026-04-04","passed","2026-04-04","Recruiter Dashboard","recruiter-dashboard.spec.js","",""
"","11265","TC05 - Search input is visible with correct placeholder","webkit","2026-04-04","failed","2026-04-04","Job Seeker Dashboard","jobseeker-dashboard.spec.js","",""
"","523","TC11 - Navbar Login button is visible","chromium","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","751","TC22 - Empty form shows required field errors","firefox","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","855","TC11 - Login button links to /login","firefox","2026-04-04","passed","2026-04-04","Recruiter Page - Navbar Module","recruiter-login.spec.js","",""
"","30098","TC13 - Job Description field accepts text input","chromium","2026-04-04","broken","2026-04-04","Post New Job","recruiter-post-job.spec.js","",""
"","2675","TC09 - View All Jobs button links to correct URL","chromium","2026-04-04","passed","2026-04-04","Job Seeker Dashboard","jobseeker-dashboard.spec.js","",""
"","3464","TC12 - Clicking Update Profile navigates to profile page","chromium","2026-04-04","passed","2026-04-04","Job Seeker Dashboard","jobseeker-dashboard.spec.js","",""
"","666","TC05 - Logo image has correct src","firefox","2026-04-04","passed","2026-04-04","Recruiter Page - Navbar Module","recruiter-login.spec.js","",""
"","4169","TC12 - Job Role field accepts text input","webkit","2026-04-04","passed","2026-04-04","Post New Job","recruiter-post-job.spec.js","",""
"","586","TC16 - Company Name field accepts text input","chromium","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","9954","TC19 - Form fields are empty on page load","chromium","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","2609","Login with phone number & password","webkit","2026-04-04","passed","2026-04-04","Login Module","jobseeker-login.spec.js","",""
"","576","TC15 - Clicking Register navigates to jobseeker register","chromium","2026-04-04","passed","2026-04-04","Recruiter Page - Navbar Module","recruiter-login.spec.js","",""
"","11288","TC20 - Valid job submission redirects to dashboard","firefox","2026-04-04","passed","2026-04-04","Post New Job","recruiter-post-job.spec.js","",""
"","5116","TC01 - Dashboard loads after login","webkit","2026-04-04","passed","2026-04-04","Job Seeker Dashboard","jobseeker-dashboard.spec.js","",""
"","4054","TC06 - Location field is visible","webkit","2026-04-04","passed","2026-04-04","Post New Job","recruiter-post-job.spec.js","",""
"","30097","TC10 - View Applications button links to correct URL","firefox","2026-04-04","broken","2026-04-04","Job Seeker Dashboard","jobseeker-dashboard.spec.js","",""
"","4050","TC07 - Post New Job card is visible","firefox","2026-04-04","passed","2026-04-04","Recruiter Dashboard","recruiter-dashboard.spec.js","",""
"","3182","TC05 - Logout button is visible","firefox","2026-04-04","passed","2026-04-04","Recruiter Dashboard","recruiter-dashboard.spec.js","",""
"","1014","TC06 - Mobile field is visible","webkit","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","1842","Password mismatch","webkit","2026-04-04","passed","2026-04-04","Job Seeker Registration","jobseeker.spec.js","",""
"","955","Page loads successfully","webkit","2026-04-04","passed","2026-04-04","Job Seeker Registration","jobseeker.spec.js","",""
"","3604","TC12 - Clicking Update Profile navigates to profile page","firefox","2026-04-04","passed","2026-04-04","Job Seeker Dashboard","jobseeker-dashboard.spec.js","",""
"","2671","TC11 - Login button links to /login","webkit","2026-04-04","passed","2026-04-04","Recruiter Page - Navbar Module","recruiter-login.spec.js","",""
"","3811","TC09 - Manage Jobs card is visible","webkit","2026-04-04","passed","2026-04-04","Recruiter Dashboard","recruiter-dashboard.spec.js","",""
"","4056","TC13 - Job Description field accepts text input","firefox","2026-04-04","passed","2026-04-04","Post New Job","recruiter-post-job.spec.js","",""
"","4226","TC15 - Work Experience section is visible","chromium","2026-04-04","passed","2026-04-04","Job Seeker Dashboard","jobseeker-dashboard.spec.js","",""
"","4092","TC07 - Post New Job card is visible","webkit","2026-04-04","passed","2026-04-04","Recruiter Dashboard","recruiter-dashboard.spec.js","",""
"","2688","TC20 - Complete Profile submit button is visible","chromium","2026-04-04","passed","2026-04-04","Job Seeker Dashboard","jobseeker-dashboard.spec.js","",""
"","2496","TC03 - Unauthenticated access redirects away","firefox","2026-04-04","passed","2026-04-04","Job Seeker Dashboard","jobseeker-dashboard.spec.js","",""
"","2937","TC09 - Submit button is visible","firefox","2026-04-04","passed","2026-04-04","Post New Job","recruiter-post-job.spec.js","",""
"","3496","TC07 - Search input accepts text","webkit","2026-04-04","passed","2026-04-04","Job Seeker Dashboard","jobseeker-dashboard.spec.js","",""
"","3054","TC09 - View All Jobs button links to correct URL","firefox","2026-04-04","passed","2026-04-04","Job Seeker Dashboard","jobseeker-dashboard.spec.js","",""
"","1181","Register with valid details","chromium","2026-04-04","passed","2026-04-04","Job Seeker Registration","jobseeker.spec.js","",""
"","4078","TC07 - CTC field is visible","firefox","2026-04-04","passed","2026-04-04","Post New Job","recruiter-post-job.spec.js","",""
"","1255","TC02 - Navbar is fixed positioned","firefox","2026-04-04","passed","2026-04-04","Recruiter Page - Navbar Module","recruiter-login.spec.js","",""
"","7502","TC05 - Email field is visible","webkit","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","3473","TC19 - Profile image upload accepts JPG/PNG only","webkit","2026-04-04","passed","2026-04-04","Job Seeker Dashboard","jobseeker-dashboard.spec.js","",""
"","8837","TC19 - Profile image upload accepts JPG/PNG only","chromium","2026-04-04","passed","2026-04-04","Job Seeker Dashboard","jobseeker-dashboard.spec.js","",""
"","1614","Password field empty validation","webkit","2026-04-04","passed","2026-04-04","Login Module","jobseeker-login.spec.js","",""
"","4918","TC17 - Fresher checkbox can be checked","firefox","2026-04-04","passed","2026-04-04","Job Seeker Dashboard","jobseeker-dashboard.spec.js","",""
"","30106","TC15 - Experience field is of type number","firefox","2026-04-04","broken","2026-04-04","Post New Job","recruiter-post-job.spec.js","",""
"","1416","has title","webkit","2026-04-04","passed","2026-04-04","","example.spec.js","",""
"","705","Password field empty validation","firefox","2026-04-04","passed","2026-04-04","Login Module","jobseeker-login.spec.js","",""
"","3922","TC09 - View All Jobs button links to correct URL","webkit","2026-04-04","passed","2026-04-04","Job Seeker Dashboard","jobseeker-dashboard.spec.js","",""
"","1076","TC15 - Mobile field accepts numeric input","firefox","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","3951","TC02 - Dashboard heading is correct","webkit","2026-04-04","passed","2026-04-04","Job Seeker Dashboard","jobseeker-dashboard.spec.js","",""
